ticker,name,market_cap,price,sector,market
AMBEA,Ambea AB (publ),11.18B,136.20,Unknown,OMX Stockholm
BILI.A,Bilia AB (publ),10.99B,119.10,Unknown,OMX Stockholm
INWI,Inwido AB (publ),10.82B,186.60,Unknown,OMX Stockholm
CRED.A,Creades AB,10.64B,78.35,Unknown,OMX Stockholm
MIPS,Mips AB (publ),10.61B,400.60,Unknown,OMX Stockholm
TFBANK,TF Bank AB (publ),10.58B,163.60,Unknown,OMX Stockholm
SLP.B,Swedish Logistic Property AB,10.21B,38.55,Unknown,OMX Stockholm
ATT,Attendo AB (publ),10.13B,70.20,Unknown,OMX Stockholm
FPAR.A,FastPartner AB (publ),9.91B,49.65,Unknown,OMX Stockholm
MCAP,MedCap AB (publ),9.84B,641.00,Unknown,OMX Stockholm
FPAR.D,FastPartner AB (publ),9.83B,75.60,Unknown,OMX Stockholm
NCAB,NCAB Group AB (publ),9.68B,52.40,Unknown,OMX Stockholm
SBB.B,Samhällsbyggnadsbolaget i Norden AB (publ),9.66B,5.19,Unknown,OMX Stockholm
SBB.D,Samhällsbyggnadsbolaget i Norden AB (publ),9.66B,8.36,Unknown,OMX Stockholm
BERG.B,Bergman & Beving AB (publ),9.64B,342.50,Unknown,OMX Stockholm
BIOG.B,BioGaia AB (publ),9.64B,98.70,Unknown,OMX Stockholm
ARJO.B,Arjo AB (publ),9.41B,34.54,Unknown,OMX Stockholm
CLA.B,Cloetta AB (publ),9.35B,33.66,Unknown,OMX Stockholm
JM,JM AB (publ),9.26B,141.70,Unknown,OMX Stockholm
DIOS,Diös Fastigheter AB (publ),9.19B,64.80,Unknown,OMX Stockholm
HOFI,Hoist Finance AB (publ),9.18B,105.00,Unknown,OMX Stockholm
RAY.B,RaySearch Laboratories AB (publ),9.08B,264.50,Unknown,OMX Stockholm
BWEO,BW Energy Limited,8.98B,36.90,Unknown,OMX Stockholm
ACAD,AcadeMedia AB (publ),8.98B,92.00,Unknown,OMX Stockholm
VOLO,Volati AB (publ),8.77B,111.60,Unknown,OMX Stockholm
PLAZ.B,Platzer Fastigheter Holding AB (publ),8.45B,70.10,Unknown,OMX Stockholm
LOGI.A,Logistea AB (publ),8.31B,16.35,Unknown,OMX Stockholm
LOGI.B,Logistea AB (publ),8.31B,16.04,Unknown,OMX Stockholm
TROAX,Troax Group AB (publ),8.29B,138.40,Unknown,OMX Stockholm
MER,Meren Energy Inc.,8.03B,12.09,Unknown,OMX Stockholm
SYNSAM,Synsam AB (publ),8.02B,55.70,Unknown,OMX Stockholm
BETCO,Better Collective A/S,7.97B,137.50,Unknown,OMX Stockholm
SVEAF,Sveafastigheter AB (publ),7.64B,38.18,Unknown,OMX Stockholm
